id,income,income-group,wtp,parking-offender?,distance-parking-target,price-paid,search-time,wants-to-park,die?,reinitialize?,utility-value,mean-utility,informed-flag,agent-strategy-flag,wait-time,park-time,switch-strategy-flag
1280,13725.383204227894,0,2.1387530595749196,true,-99,-99,1,false,true,true,-0.36105138799178216,-0.346358366340204,1,2,0,2080.560441494119,0
1259,19938.2640197951,1,3.681880061091204,true,-99,-99,20,false,true,true,-0.27354440784538187,-0.3431512933017175,0,6,0,3660.540397582687,0
1267,53082.341047276,2,4.500119284069872,false,-99,-99,16,false,true,true,-0.15901802260671588,-0.3412888396160062,0,6,0,8389.187372126737,0
1198,14091.531313446743,0,2.103612151584332,false,-99,-99,126,false,true,true,-0.12069372195578605,-0.341885179042159,1,1,0,4584.109620863496,0
1063,19564.89919850441,1,4.94605949654573,false,-99,-99,142,false,true,true,-0.08253519980748408,-0.34602768257287536,0,6,0,8851.028394690296,0
1268,18927.159245832492,1,5.962790630376542,false,-99,-99,23,false,true,true,-0.21963858161305755,-0.3455371227345563,0,7,0,2809.112981067805,0
1265,21435.32424170694,1,3.9675712837173,false,-99,-99,27,false,true,true,-0.3605577821904316,-0.3464231990765845,2,1,0,5636.015347362518,0
1278,89409.20469378121,2,4.98964875158797,false,-99,-99,21,false,true,true,-0.18666005525226853,-0.34329929546708104,0,6,0,8351.962851977401,0
924,7365.945796851777,0,1.256837631437798,false,-99,-99,158,false,true,true,-0.38919246016736014,-0.34241281704464044,2,1,0,4509.353472400807,0
910,18194.251721925284,1,5.144602054507127,false,-99,-99,164,false,true,true,-0.08955061782786208,-0.3416012778672537,0,6,0,5555.615599532641,0
1226,27771.148872800506,1,6.459529857654378,false,-99,-99,88,false,true,true,-0.2302676914551614,-0.3415816688475887,1,4,0,1913.0090566578274,0
1253,28705.35526279281,1,3.3934071762255495,false,-99,-99,58,false,true,true,-0.32455949720330424,-0.344508631123191,1,5,0,528.4899027700367,0
1090,15454.918657630285,0,1.635299338666212,false,-99,-99,169,false,true,true,-0.7639824760579054,-0.344456819271397,1,3,0,6444.628681271007,0
1162,15287.219366738113,0,2.2859584691199104,false,-99,-99,169,false,true,true,-0.5212101101093446,-0.344456819271397,1,1,0,15252.665074184408,0
946,16539.46272042845,0,1.8702995207542836,true,-99,-99,170,false,true,true,-0.24146489662665074,-0.3420864001384804,0,6,0,3425.2043163734643,0
1086,42652.70512686176,1,4.124987179168109,false,-99,-99,172,false,true,true,-0.4491318663116519,-0.34244505654232926,2,1,0,7362.744389209566,0
1283,47613.98700327471,2,8.730613349550401,false,-99,-99,33,false,true,true,-0.4146646230825975,-0.3422164036434193,2,4,0,9425.834549842904,0
1211,17333.675905084474,0,1.5708950831490651,true,-99,-99,137,false,true,true,-0.33601756591849424,-0.34389990708363355,0,6,0,8196.972709301714,0
955,31455.50531502367,1,2.8902943436201753,true,-99,-99,178,false,true,true,-0.3082136004129857,-0.3430367627785634,0,6,0,7415.617656123829,0
1294,13504.034001372758,0,2.9650858799637376,false,-99,-99,10,false,true,true,-0.23364078832012095,-0.3428077183650963,0,6,0,12555.108544458068,0
1139,18135.830776972143,1,4.678912608462465,false,-99,-99,181,false,true,true,-0.34290728321434893,-0.34724425350999766,1,2,0,2748.4189766015857,0
1159,24596.76119375479,1,3.852700209517937,false,-99,-99,186,false,true,true,-0.09275491136200519,-0.3493597679207507,0,6,0,5677.660114773007,0
1044,60468.12133697017,2,5.819339334336073,false,-99,-99,187,false,true,true,-0.3638846532313891,-0.34986529391373783,1,5,0,4588.818102651548,0
1237,15487.522082557467,0,2.8719370250691907,false,-99,-99,99,false,true,true,-0.2089012911503833,-0.34986529391373783,0,7,0,6901.822285881189,0
1258,11222.622790650763,0,2.3913679031583146,false,-99,-99,70,false,true,true,-0.33541077488818993,-0.34986529391373783,2,1,0,978.4797041137134,0
1225,26376.463659761248,1,3.363633720709642,false,-99,-99,121,false,true,true,-0.1920944054566528,-0.35154490755916973,2,4,0,2903.3567539697115,0
1056,7929.159411890213,0,3.784326253794432,true,-99,-99,193,false,true,true,0.09368914868076669,-0.35069821016392916,0,7,0,1436.3500071704113,0
1301,24448.307960189253,1,4.435814677921654,true,-99,-99,11,false,true,true,-0.7588057334338736,-0.35069821016392916,0,6,0,7144.907282029493,0
1036,25101.945682301804,1,3.9748806856254264,true,-99,-99,196,false,true,true,-0.17644369988733727,-0.3511033643753643,0,6,0,3199.679458147107,0
1271,19276.192682067547,1,4.114316834445767,true,-99,-99,71,false,true,true,-0.13313589808713122,-0.3511033643753643,2,4,0,3730.960498829992,0
